""  "N1222"	"N2329"	"N2427"	"N2451"	"N2641"	"N3047"	"N3159"	"N3160"	"N3361"	"N3557"	"N3581"	"N3607"	"N3812"	"N439"	"N4901"	"N4945"	"N5020"	"P1730"	"P1739"	"P2957"	"P2958"	"P3020"	"P3042"	"P3288"	"P3475"	"P3799"	"P3956"	"P3958"	"P4051"	"P4216"	"P4287"	"P4311"	"P4312"	"P4313"	"P4417"	"P4511"	"P4516"	"P4517"	"P4653"	"P4678"	"P4680"	"P4722"	"P4757"	"P4873"	"P5079"	"P5215"	"P5296"	"P5385"	"P5468"	"P5481"	"P5515"	"P5609"	"P5708"	"P5726"	"P5779"	"P5850"	"P5885"	"P5925"	"P5928"	"P5970"	"P5971"	"P6052"	"P6073"	"P6074"	"P6118"	"P6130"	"P6131"	"P6140"	"P6246"	"P6253"	"P6276"	"P6313"	"P6393"	"P6399"	"P6400"	"P6442"	"P6568"	"P6591"	"P6620"	"P6875"	"P6886"	"P7082"	"P7111"	"P7128"	"P7165"	"P7190"	"P7246"	"P7312"	"P7380"	"P7415"	"P7491"	"P7498"	"P7637"	"P7669"	"P7744"	"P7771"	"P7816"	"P7817"	"P7823"	"P7965"	"P8130"	"P8166"	"P8191"	"P8297"	"P8556"	"P8595"	"P8596"	"P8616"	"P8623"	"P8660"	"P8661"	"P8693"	"P8722"	"P8759"	"P8980"	"P9040"	"P9041"	"P9109"	"P9110"	"P9170"	"P9198"	"P9199"	"P9217"	"P9339"	"P9363"	"P9419"	"P9449"	"P9494"	"P9495"	"P9496"	"P9520"	"P9521"	"P9539"	"P9608"	"P9612"	"P9664"	"P9724"	"P9735"
"2"	6.25277659813055	6.2499613111023	5.80288266140941	5.82761323665554	6.83522965784265	4.80430664101601	5.50882184365531	5.37804505238108	6.56220956711611	6.3575512413215	6.16282687523431	6.7451500835948	7.43396366356024	5.38370480422204	4.67860941655893	4.72987115884473	4.9940316653397	6.10063655517362	5.04301588340967	6.28092193709187	5.81344901237522	6.35140298414926	8.16600063980187	6.11677671408854	6.074906361001	4.99198830228023	6.44451819998964	4.84205053742758	5.12323731673634	4.35934781264935	6.60886574146226	5.64425232484401	5.72805576189449	4.92550871739282	6.07668412574658	5.44231072192589	5.29099812094847	6.09981008161944	5.75561633543101	4.01658586905688	8.92095650768447	8.31536968074114	6.22757899178366	5.07718724481994	6.01393001778881	5.66091298229117	5.77942786280944	5.02979960830649	5.82862542223713	6.53131704831909	5.53730670308411	6.11980171434778	7.43297057292264	5.61246712998509	6.48832674329029	5.53897240802167	6.09438656750178	5.71278695402577	7.48882967519512	7.27985531035748	7.32490504644942	6.19784766581892	5.21727095609476	5.23572282593123	5.29471592880373	5.73904398754382	5.65818250360629	7.74421159418849	6.41077858263952	5.607860604222	6.65041924000436	6.7747674704355	7.75662568809562	6.51172859093973	6.95523971021048	6.39655640312933	5.9295759586428	8.76952590618405	7.93868145474336	7.61766669198246	5.72951006236538	8.16335580946966	7.84189499945375	5.8772909305875	6.6602743215645	6.30255581161067	5.64235687309889	5.84877621876585	6.5626320765685	7.33003268529032	7.62315818240432	0	7.00150006528837	7.70799923437636	6.31775546140702	5.50326689952766	6.16666333277423	6.00331789810085	5.9957716030556	5.69978111652991	4.6893909143778	8.09093595435784	8.41940121503484	5.97658568144394	6.76966078058027	7.26005539992689	4.85340675958088	4.64260240416189	7.42207432222348	6.6657865521901	7.77984228142516	7.28234336814197	7.37708522201113	6.30366790719185	4.93878662417901	7.35521160530876	5.83464783815349	6.56061181064677	6.39215066473454	5.9055340378685	5.32580803639921	5.12724867508951	5.70471533302737	4.50716490198813	5.87202071673991	6.11845520496813	5.51974676917629	5.05148786130853	5.09699616848692	5.01761090081702	4.99745231001437	4.75542814080181	4.56600828915781	5.04976442453353	5.64948284417177	5.55749360743348	4.52993468491689	4.52786232153028
"6"	6.05975685736085	6.29396219628511	5.82100845756123	6.07534363478976	6.93578070463799	4.85853479149936	5.61566267026879	5.18897120836554	6.41465168392562	6.11957489273137	5.96574998681415	6.71037710219527	7.21590577572685	5.27450237606367	4.3981173383302	4.78191004208457	4.8514486625671	6.29075605422161	4.97759178833989	6.01493783213647	5.59817626242894	6.11264889790955	7.91696574586226	5.90222613099012	5.74221223541888	4.90054010183123	6.32666186911042	5.07282942812984	5.07481095709437	4.73554205449442	6.46483338920583	5.52850238107744	5.78138437899764	5.07675546369039	5.98133422786929	5.54720938569476	5.40464422714326	6.05019370070015	5.57395644682021	4.35943305201701	8.91883031687997	8.22129919325677	6.16565022992319	4.91211929147001	5.90807331637166	5.61792030114934	5.59086322587627	5.59165028676712	5.75589809361516	6.42632042265208	5.50166985908757	6.19306947286411	7.42438877570128	5.58752272995621	6.34680034115107	5.89005414495344	5.86710375390665	5.61008700597578	7.38424747136154	7.18168555600597	7.18570898480973	6.03262883249836	5.29077206279935	5.26718064895481	5.54376567015244	5.77282027220917	5.5015155111881	7.73675327403875	6.47196302789971	6.169881835072	6.85275244014855	6.6988762734729	7.68091150081544	6.39073627477095	6.82560758767726	6.19405566238083	6.04173800935127	8.65000895237005	7.82500336756656	7.49430517900807	5.56821721753971	8.06713411627239	7.66579339630351	6.25909025449419	7.03967620323319	6.20359117874884	6.14839532841472	5.79183052684665	6.39917079075682	7.20625633419658	7.51350299494757	4.80774732046962	7.08057742763141	7.79963700933429	6.47745885980665	5.32212911756563	6.07049705189085	5.87335897152038	5.83830166069849	5.45719344098902	5.01260863289643	7.94997761439419	8.24373434672285	6.10223778301997	6.77673938279298	7.19416537861311	5.15539221878149	4.37842424855889	7.18112211730988	6.55374628727578	7.59081810280312	7.11161195992338	7.21893443174298	6.413402875819	4.83534306030992	7.09389144971024	5.59883557478394	6.37797684920052	6.12696573704915	5.7968891866157	5.33410859118916	5.26438212990453	5.58032783788583	4.52938864263978	5.74653978021472	5.87940763347071	5.25697353405215	4.93081159315005	4.90923848242035	4.82291437196938	4.95227718141503	4.66188298067585	4.67943734559429	4.76271561594199	5.48751394142645	5.42968608137466	4.29159015990203	4.47606173245593
"7"	6.33378067659077	6.28459381745978	5.50856715421549	5.87025626688739	6.90330496383148	4.98497375455084	5.34657221825172	4.83768071600875	6.29461654980588	6.231621210215	6.1490413543555	6.74680158019629	7.30337989144449	5.58180145667947	4.61619730828479	4.84967303650275	5.07925036575203	6.35561394308973	5.25402622363952	6.35655071099756	5.88821859551629	6.45041355466612	8.2869641223193	6.26507832155693	6.10252220217476	4.72767933096333	6.44694595079736	4.70143430884744	5.01163133358892	4.46233958885138	6.73292279418987	5.64814329765023	5.78801365270036	4.99385815090003	6.07853257734386	5.35460701500907	5.31681691855522	5.9982169097919	5.52102910397651	4.34494275155887	8.95150882243837	8.27793796192144	6.10869590117908	4.89075496735188	5.88356820795341	5.53965535737852	5.62347165427853	4.7486237314598	5.28208667414602	6.35916113885717	5.19602024228613	6.20038258644098	7.39695095020251	5.58043169731588	6.39051437920756	5.70487096793157	5.59687023042472	5.55632964332421	7.56984108086196	7.31611529589624	7.41761532708804	6.1284541983257	5.26521723741464	5.28410889829736	5.08820698813453	5.7924908654293	5.56089981946937	7.76378389429105	6.40205923798524	5.29624999935601	6.68609359842108	6.5090245999462	7.71778080977481	6.55351566198423	7.05320909650461	6.36546271270946	5.66677847910227	8.74407351114918	7.89852866274875	7.5474673917766	5.63707725414403	8.24432067179694	7.77369869985878	5.575912258099	6.32596409327236	6.1347510045529	5.15270256159111	5.76019042071816	6.57822695025378	7.21021735997773	7.41950090479763	5.45948627317643	6.70908339482156	7.39559964172595	4.44464349073985	5.52381251615908	6.05558128603136	5.97399004197704	5.98053211576403	5.68883176135741	4.12103495979658	7.993545606024	8.26655858843885	5.66381961004893	6.35964996673863	6.86167495137883	4.81490845921139	4.59270924683698	7.55823802998204	6.56119169319351	7.88715333634838	7.11793846925481	7.18839181971269	6.00820444292108	4.56970670215844	7.03244105857563	5.76308041892902	6.68582832023178	6.33945501900368	5.86518952163553	5.09353234610788	4.87474793721235	5.41406656390313	4.4072190224303	5.71233514506772	5.95181337882846	5.38428189215348	5.44402995466601	5.21272760548474	5.01859482412638	5.10426239456139	4.67218008889258	4.45524849006117	5.09346896464913	5.52622383794986	5.18364957849766	4.76181925122609	4.63168936006007
"10"	6.4498668534022	6.4268184120038	5.93582848461417	5.97319123748788	7.02269554712864	5.07601931900426	5.47891465728962	5.48618159152844	6.58035454696874	6.64383774467104	6.30524944878298	6.85836573169313	7.47295454185105	5.64340973843191	4.73295243383935	4.95540823059792	5.04250108933025	6.24095614628632	5.10540457876293	6.41954156768204	6.00013851784731	6.84927792254827	8.39566635537181	6.48488197319488	6.31266851709131	5.37909729662586	6.73419363389767	5.64221960407926	5.31985880856027	4.6890810834415	6.75612225685422	6.04204797520633	5.92617276076639	5.23426994869722	6.11913112719942	5.34045521994516	5.49309275543509	6.13854583500418	5.56264444114915	4.66753167914074	8.97369949849215	8.32460013561085	6.28958962137342	4.84173865547024	6.09166484765785	5.74894459108617	5.79555810322729	5.58119276502269	5.92511501532806	6.5777942070589	5.71465259384617	6.0662752236476	7.56530957379255	5.80322372208972	6.20928145144412	5.82966366987812	6.08056660498301	5.74985669582367	7.68112079443519	7.37830558084481	7.3463858387355	6.26480106458392	5.45957159729421	5.50253745500579	5.64921136909349	5.82028509089952	5.40138882156598	8.04697718602863	6.51988440903197	6.38733482408753	6.80101816261215	6.94827820598819	7.79300648130685	6.56876078232396	6.99663397537322	6.3958592782662	6.2065287817501	8.80984114052233	7.97890647401706	7.59599361191238	5.72584011475902	8.22366542032	7.79199083287522	6.66453451667991	7.34415462404668	6.34780737920437	6.31454911739653	5.95546939391763	6.72265859765566	7.28615680649091	7.80328978444172	5.62600481459291	7.51969886709787	8.00335711634955	6.63039787003721	5.60750273936968	6.10125924954286	6.05456824408437	6.12443835836429	5.70138455835763	5.67754408495652	8.14994756170518	8.36065910179044	6.07714288609273	7.14202385408552	7.57172198851998	5.77624028233174	4.77556654309267	7.40749610827701	6.74752491171999	7.69699495235717	7.28371677632354	7.34000285379303	6.33507479034364	4.98008017352329	7.38278889588044	6.09251993882792	6.54561855847346	6.32583367376909	5.83576943474557	5.40718348145467	5.2255015695644	5.47241341132898	4.6276827554324	6.00688088410261	6.08264034199576	5.59599041897579	5.02305193807594	5.12227913316419	4.94857731122776	5.15022268173991	4.72156084467767	4.81418524468651	5.07348629814519	5.75900660971513	5.27816049846653	4.6673968178679	4.56655309224594
"13"	6.35715947294334	6.36481749346682	6.13583808506802	6.09401073519409	7.05096679772225	4.78684586382967	5.6446740885085	5.193753869242	6.64499060986144	6.4360649595671	6.15574220133605	6.90185679580428	7.4488001235642	5.35029803687169	4.69329094111535	4.97539977523756	5.04228128951848	6.10552585315099	5.01826640329932	6.24110598626925	5.83572315820615	6.75335443881088	8.15030718083793	6.22874724503609	6.18978414209028	5.42597106659885	6.79027362023395	5.50167929880128	5.20865979247012	4.45162189422241	6.83659828041773	6.05813589174091	6.18738561731971	4.98300976489518	6.13091758241713	5.52331885338042	5.29018068791109	6.11946506587206	5.67480476143111	4.29789110798804	8.93096552691662	8.31321993461504	6.35391757667364	4.97961874838037	5.82190866792899	5.78559431811487	5.51120774166212	5.93422996417971	5.95567534172247	6.5290208927559	5.92122077662606	6.04974273657082	7.59761182848029	5.85337827317566	6.24381189203149	5.97494839269605	6.26644244070403	5.84988895962122	7.50384431987838	7.14217633418834	7.1568470587352	6.16204168419756	5.42326455639192	5.46429008982788	5.98186280423495	5.77599091693357	5.42094721822445	8.0228562682701	6.54320082362234	6.49871556852156	6.61982693978081	6.87506612746266	7.71029604095429	6.43974720769912	6.88215223985015	6.30416015738571	6.4978921888004	8.81953761848528	7.93072087754645	7.56161388269834	5.59915966422442	8.16572347769368	7.81551771325575	6.60225158150163	7.27117758079463	6.36454349128082	6.43610887391888	5.90218332009407	6.63397033110093	7.29200982749383	7.66413076776633	0	7.45442880476671	7.95770940847373	6.87701460560742	5.50107762001921	6.10757252202589	6.06400473872058	5.78074872744829	5.59992213499639	5.51773954767744	8.15964327833018	8.46867942391496	6.34926178765118	7.12165142044299	7.59220052631553	5.59903635504723	4.48959247782147	7.48098114259303	6.77441410969663	7.89668811081206	7.365785898556	7.55096627108677	6.99397362939291	5.51868841224624	7.55083459629604	6.11087106889745	6.675481747394	6.67503555803808	6.30555621352619	5.95359400988028	5.8314802696935	5.9120227243795	5.11121847692409	5.79466674681546	6.42096880051811	5.92000727272912	5.2464308708792	5.50880798227041	5.26307882027271	5.54481030142157	5.22356913924287	5.20260327817404	4.89936397987581	5.94938010071398	5.51407348859785	5.108969703119	5.05705530450101
"16"	6.18350244930956	6.29673427707007	6.05712879810899	6.04178534669442	7.00293587367358	4.73668089195008	5.81575780375189	4.99065287202889	6.5775487828879	6.55541720660199	6.25775702871933	6.9462403227969	7.56517780411352	5.34436594009916	4.52542824290612	4.78231163304243	5.04108422656031	6.08197992286677	4.93456444889002	6.33238432122915	5.8309107097993	6.16932227183756	8.14979040380181	6.25627119834425	6.17509964690859	5.59844961045919	7.12073084109003	5.71976263212611	5.22669113612682	4.67823157716532	7.25617706642025	6.43655428992471	6.2665019291532	5.10464174997334	6.08934687861028	5.18425152041198	5.40422887398173	6.06954304353006	5.59802725035435	4.67948204376185	8.90934781750029	8.21520728515677	6.3781410643055	4.93957970020683	5.97425615293879	5.72763298595033	5.63431087629611	5.03142341180446	6.0424849429509	6.37082736287588	5.75449970071657	5.97307342477428	7.37134479839378	5.62785068461329	6.21220465612248	5.76031985414685	6.16575668718714	5.83487930026369	7.41140553588403	7.15679681632539	7.31786305397706	6.07742604960689	5.31776611739441	5.39096176419857	5.35354445110187	5.7361556211887	5.42255258018541	7.69498694703997	6.53278774579111	5.96776637890554	6.75028332108542	6.71282287989372	7.71025516613568	6.38849444736656	6.87320314619439	6.21624668146692	6.06279137272722	8.73343217013356	7.85601470751172	7.50257281636416	5.54212626010837	8.0752501529218	7.74187935813212	6.36300090582538	7.22854894823658	6.22720028553689	6.15237091365321	5.7816764048401	6.50572530869051	7.31000447861916	7.45584912779414	0	7.50470758700746	8.19652298452252	6.7748884752703	5.3760125550751	6.13311814149346	5.90461661438414	5.84836951193713	5.56216588912584	5.26711749689534	8.48795329186593	8.83764007076006	6.25160099361145	7.12439368086479	7.57492094903683	5.29179804808055	4.67813918463001	8.08751202912054	7.17618071450536	8.30915047556035	7.74126327147686	7.74826285880437	6.66003896356419	5.11515101474417	7.59237997299027	6.1332437433092	7.15334252185468	6.84246956901426	6.30644154115036	5.76059609111347	5.54588640790719	5.87184825167001	4.86823980954929	6.35672704949224	6.42252467437719	5.86355000216655	5.45992221494591	5.72160437938424	5.52026574135959	5.76552610068647	5.22235275979703	5.34070778440104	4.85032784006042	5.94179134806101	5.31904835784056	5.3339326874377	5.36860165755095
"23"	6.15170777577447	6.288589014144	5.71202583917465	5.07383487955956	6.7550524227513	4.7879157844618	5.56098659065195	4.94799069283019	6.31868593401957	6.16340708749699	6.06021985348252	6.85634873147468	7.28178761122538	5.45044572836226	4.45233547851557	4.67909859838889	4.95119156355423	6.22380863461175	5.02233886347942	6.33608611996145	5.78250988876066	6.20667020346646	8.15416429269573	6.06598096230427	5.91208951536175	4.92493065268558	6.55988185877686	4.91678788471217	5.25066294406747	4.42135808610607	6.84686777774953	5.80031379435111	5.97588998868759	5.00318427088529	6.17119268932476	5.20823195237245	5.26291503855307	5.8361718960401	5.3882500871664	4.34805940757789	8.90535105377828	8.16020853691721	6.13873866885146	4.65324870347429	5.69647573777772	5.5863260868826	5.25295419282767	4.50631436098342	5.7987141624097	6.21316805566753	5.47469663696634	6.15018795552601	7.49365291696135	5.50038551492779	5.95260968136403	5.26884160407002	5.93908349162093	5.70831609588606	7.38831403189554	7.17471700601591	7.34646036102459	6.19795560242125	5.26287070494824	5.2834520745969	4.87295213825232	5.71727354954174	5.11195709800876	7.62940541925308	5.70622792233485	5.23052989697623	6.04886035801094	6.32450757142817	7.59316872518586	6.57688025509273	7.07743586069374	6.43741218854425	5.53385121017149	8.72923535681266	7.81822516758914	7.45396975175106	5.76999332128118	8.11731704335192	7.66473963383213	5.64744038318005	6.45952155055103	6.01279632320178	5.21328846336524	5.6067511104709	6.31118000151797	6.99827080608843	7.21618543849805	0	6.91951520164192	7.63069447236886	5.98206570883966	5.20629954838414	5.8066650948772	5.47567845071324	6.26260508270911	5.77861945689079	4.72649533329044	8.13346609407394	8.44784971462479	5.73401907773633	6.33102014446462	6.95920229009429	4.89594449072471	4.42922095342408	7.61665980049453	6.78983501018096	7.97664631711047	7.34860350820541	7.40723160561922	6.14277415319745	4.3825801789116	7.10810511815503	5.43308305792113	6.81978970298643	6.42981475579264	5.79724156550358	5.0129371431055	5.031009942521	5.04109805461903	4.35383509351802	5.58411820950313	5.93581640166051	5.42534588757907	5.11606985539735	5.04747035327354	5.15657761879576	4.83765080046544	4.71140994199843	4.2390788966408	5.18039915946718	5.12669623979805	4.85066687746264	4.57101492019695	4.45946712570929
"27"	6.49502787227857	6.23267624013732	5.99067563544424	5.72711602589134	6.91351101178889	4.99844056186893	5.84627555178273	5.27477397157824	6.52346226202996	6.33431358814013	6.20900562628347	6.83140939566824	7.30781875067999	5.55193988876577	4.49214230165774	4.59682155136886	4.86775283812061	6.16078985616518	5.02447868937638	6.25322238811417	5.78978018799999	6.48955984188071	8.22896288300801	6.13932831625693	6.06682889369892	5.14174254909376	6.54877206750362	5.2695941917142	5.15772052872077	4.34679565088417	6.81730683121627	5.78455859829595	5.95442270426148	4.93701540455988	6.12049035437782	5.55393082066919	5.47634752171503	6.07109477958174	5.41520947315237	4.18780968432126	8.88155520228211	8.23400372287025	6.17337655846027	4.73686329718692	5.91296954759149	5.63322336354756	5.6264577034361	5.98417541478671	6.00597242041226	6.45558496778237	5.7255099691176	6.06912951908577	7.43465894693735	5.53654543879207	5.89157062780719	5.67634191730852	6.12331644338949	6.09801553450467	7.42903680027269	7.23846538395336	7.16708742280902	6.17231651764263	5.27054235541691	5.27629379852441	5.7068217787199	5.79909244819603	5.0370538010587	7.83773505099719	6.3374073425252	6.50022165036149	6.50694005599666	6.80484831476342	7.72404579647874	6.47288116312367	6.85354533024397	6.32973948489667	6.17919317785903	8.80737054678768	7.82044843119353	7.46355736311395	5.65880080837929	8.17829160207497	7.70103778774441	6.60904901132563	7.30692701765412	6.27814104251541	6.36398350932342	5.8801823782011	6.55844011278263	7.28791767555551	7.51614413438055	0	7.38386489426235	7.90755420296593	6.67907204733037	5.50984837423643	6.12296255031548	5.85804174717676	6.04902914105528	5.68303226116276	5.34816481458062	8.10830010449159	8.3768589744066	6.30474314646435	7.02774498234741	7.31373838867572	5.18489745892974	4.67706666831357	7.90495528752938	6.72540316122834	8.10763014980681	7.26019521584458	7.41751669806239	6.65177852130427	5.21611072094053	7.36771439217682	5.74267800818963	6.9325096838101	6.67662247093421	6.35228943790132	5.89066196582437	5.49959595367796	5.59397341424789	5.09523736813257	5.92163841436912	6.21872845294395	5.77933807410143	5.09458850855072	5.91700580978823	5.47227011824282	5.99793231716628	5.18171585229758	5.44129678428478	4.92978485620852	5.62489400944884	5.5001390084274	5.46123297673414	5.51009251851897
"30"	6.34695684975935	6.06072729584999	5.94177376862187	5.45255965036159	6.82707848278003	4.80362840967056	5.69683856358991	4.99614315357074	6.11101941551774	6.08668969797851	5.93751749082134	6.60775067174011	7.33327957019122	5.4368577570469	4.36095126559779	4.5771886070327	4.73431319521821	6.10384988366393	4.78542102727711	6.19361652006427	5.60863673246993	6.22201843874479	8.23009597760169	6.23368865128117	6.0809751532062	4.96227943640677	6.36557726815579	5.01241157625181	5.09195627364287	4.49893700239935	6.64579656418035	5.60932670743329	5.69066105790991	5.51540102636364	5.99419111418007	5.42272654067178	5.21661132065475	5.98846165331376	5.4077077983029	4.63944783932428	8.6885126336308	7.94035977197794	5.85217020437026	4.61441120900846	5.78027957081397	5.27029956526644	5.48859766852808	4.78733753690349	5.82985873597768	6.19005730550762	5.55775423436758	5.82567785769202	7.29755567709162	5.17696736010685	5.95168782494894	5.39916108998257	6.07008147867226	5.85263654321772	7.24898568453552	7.06196714472528	7.1167345607094	5.92015761958512	4.95365803850372	5.01638224494105	5.25395241710235	5.80632720199832	5.15301044644895	7.66674732855788	5.92321826078321	5.56846046301327	6.22471171589252	6.74348279686917	7.67117108330957	6.29799105261012	6.77435460413442	6.11704513843213	5.85933984004954	8.68486644774475	7.57453533574716	7.33487939236957	5.35924812401527	7.92287709731974	7.41079915837043	5.9756234532329	6.82183385799386	6.1789458840604	5.58863848872525	5.73801455820493	6.42549965815073	7.21543900608882	7.35719381926005	6.53099095585865	7.21312392439922	7.86684541806529	6.21459034735803	5.32541610903112	6.05266739875845	5.76796179199656	5.84569695324414	5.47152728125899	4.91212902143426	8.1720471574662	8.45168345101898	5.77916826206982	6.71535710057146	7.18885229985935	5.11116636662241	4.0578965002777	7.59026142220509	6.93511390512147	7.93294924954314	7.3841517241864	7.37502239646443	6.04237190148399	4.76449893015367	7.28730760686416	5.78130706629426	6.78462634925424	6.53296905334467	5.79651744106962	5.10403140939007	4.89707353544496	5.46646411716764	4.71597294195699	5.91913146022601	6.12506368686911	5.63306386832028	5.10596433847282	5.27221071606897	5.14859679425863	5.09347491799743	4.6709600881749	4.71380107440731	4.73420492676286	5.60063185697651	5.31093704348108	4.75377190146193	4.63047618378516
"34"	6.28152082220377	6.31474714503104	5.94753145165725	5.96635183348859	7.00562316421904	5.06353675782159	5.54502566185035	5.44539759184885	6.49725262091532	6.30095442184902	6.01188072430833	6.6659816140248	7.40310730331653	5.37766825511517	4.69194700678695	4.81593320632757	4.90074390000891	6.27001466136523	5.11231135138071	6.35543485301362	5.88815876190165	6.59052407526664	8.14848573735901	6.1082777667475	5.99210834776458	5.14546181353732	6.53297121737378	5.19578705319327	5.17244909133677	4.50418558890826	6.75710870719271	5.79045835457184	5.72856211222022	4.99629157969399	6.14640868533954	5.17598006543492	5.48184276902294	6.16035086249361	5.51463234551748	4.43362728516158	8.89485399973202	8.27299339678573	6.18479729493452	4.76312185783718	6.12017729191627	5.61933264863014	5.91684295477512	4.5427264861444	5.85632841796273	6.47338739937833	5.7076414456383	6.01176492337787	7.47909670364062	5.68592016563568	6.14543851141851	5.83725394057542	6.08745521965947	5.79937887597379	7.68594683834139	7.42909743877401	7.72847926282067	6.25246150426869	5.27424885676263	5.41545331213008	5.04618289074088	5.87843860520471	5.2900700216228	8.00231771424376	6.67622065693517	5.42362330025913	6.68953225460604	6.84811112178764	7.84486556821601	6.64243009188897	7.0971274532421	6.50486297771747	5.69141349874548	8.72910993224242	7.78442063893925	7.48346176843711	5.9077381411489	8.27712881839535	7.61733956673031	6.13787925208575	6.95028689833675	6.25201274434747	5.70093058107329	5.7840638386506	6.5428062628257	7.37493668268915	7.58591858415279	4.77507010157509	7.39675328598799	8.01397375647798	6.35744694414683	5.39988095680583	6.20385525378824	5.93604244823833	6.33856186695818	5.89197019848039	5.29025637898975	8.24883633525517	8.49587263995594	5.83611242469753	7.10092994202695	7.28681651092374	5.50777790748997	4.61152756592421	7.71846573144939	6.88290032749446	7.93539862823548	7.41946453639123	7.48753966485755	6.15849125338316	4.78090619918136	7.42194514167511	6.12307803881022	6.79235281139724	6.45595401724905	5.97470719637965	5.22579939592009	5.04221430330397	5.57995168176529	4.65466035175162	6.11621976037125	6.20776547060698	5.6048347189702	5.22239153895995	5.414440676625	5.24939454077752	5.20635491027855	4.91999166081934	4.60424290597618	5.35495218725	5.63899095158396	5.31561080224979	4.96332746731555	4.72981266896958
